GeoFips,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01000,Alabama,88.852,87.725,89.682,89.955,90.515,90.273,90.137,89.706,90.580,90.098,87.388,88.297,87.561,88.072,88.007,89.970
02000,Alaska,103.924,106.224,103.183,103.328,102.597,102.079,102.412,103.331,104.075,104.864,104.552,103.039,101.350,104.808,102.022,101.715
04000,Arizona,102.501,102.847,100.548,99.081,98.044,98.415,97.934,97.871,98.588,97.873,97.344,97.773,99.207,96.604,99.963,101.105
05000,Arkansas,88.065,86.330,88.492,89.335,89.354,89.445,89.357,88.980,89.275,88.607,87.156,87.742,88.168,88.913,86.895,86.508
06000,California,111.187,110.629,109.665,109.472,109.649,109.638,109.887,110.644,109.866,110.925,111.972,111.132,111.941,111.868,112.566,112.581
08000,Colorado,103.302,102.351,100.594,103.391,103.152,103.118,103.076,103.084,102.713,102.957,100.290,102.499,103.766,102.815,102.257,101.382
09000,Connecticut,110.466,110.829,107.003,107.870,107.542,107.703,107.010,107.612,107.521,107.180,104.057,103.941,105.091,102.828,106.226,103.689
10000,Delaware,100.826,102.125,101.547,100.392,99.530,98.591,99.704,97.946,98.499,98.564,99.260,98.822,96.782,97.438,97.979,99.253
12000,Florida,101.657,100.459,100.332,100.816,101.046,100.718,100.856,101.256,101.055,100.871,100.315,99.647,100.610,101.398,102.252,103.452
13000,Georgia,94.199,91.797,94.463,93.618,95.243,94.787,94.903,94.667,94.932,95.292,94.819,94.395,94.476,95.761,95.725,96.699
15000,Hawaii,109.744,112.581,109.395,109.869,108.370,112.299,110.592,111.515,109.881,110.447,110.831,111.781,113.249,112.513,111.094,108.609
16000,Idaho,94.973,94.857,93.204,94.129,93.491,93.679,93.701,94.308,92.998,94.544,91.703,92.445,91.019,91.625,91.791,91.425
17000,Illinois,100.238,101.521,101.745,101.998,100.982,100.238,99.686,98.932,99.535,100.280,100.323,99.466,100.341,101.329,101.240,98.855
18000,Indiana,91.965,92.573,93.073,92.437,92.784,92.926,92.696,91.483,91.423,90.884,92.737,92.827,91.766,92.567,91.884,92.184
19000,Iowa,87.395,89.776,91.218,89.907,90.843,90.940,91.070,89.632,89.560,89.257,91.841,91.814,90.606,89.759,88.356,88.767
20000,Kansas,89.865,91.814,92.993,92.786,93.313,92.630,93.188,92.873,92.132,91.563,92.508,92.764,92.264,91.247,89.676,89.965
21000,Kentucky,89.803,88.492,90.358,90.413,90.646,90.845,91.025,90.699,90.648,90.031,89.074,89.591,89.084,89.256,89.391,90.468
22000,Louisiana,91.436,90.144,92.131,92.690,92.878,92.889,93.373,92.810,93.580,92.392,90.769,91.156,91.152,91.389,90.465,88.345
23000,Maine,98.591,98.881,97.688,96.220,97.011,98.392,92.632,95.984,97.318,97.608,97.683,95.618,97.886,97.318,100.698,97.097
24000,Maryland,108.828,110.488,108.432,109.324,107.410,108.543,107.909,107.944,107.262,106.743,106.355,105.086,106.386,106.120,104.930,103.965
25000,Massachusetts,106.230,105.482,104.709,104.744,104.444,103.316,104.535,104.948,108.185,107.258,107.264,107.165,109.097,106.731,109.435,108.238
26000,Michigan,95.858,96.044,96.195,95.209,95.019,95.232,95.485,93.725,93.631,92.704,94.458,95.356,94.424,94.254,93.609,94.184
27000,Minnesota,96.757,98.648,97.591,97.266,97.391,97.487,98.338,97.713,97.273,96.765,99.577,98.751,97.749,98.328,97.465,98.417
28000,Mississippi,88.038,85.588,88.218,88.833,88.521,88.843,88.920,88.233,88.469,87.808,86.166,86.521,85.580,86.229,87.326,87.292
29000,Missouri,88.468,90.473,93.124,92.522,92.456,92.837,93.373,92.296,91.704,91.718,91.792,92.522,92.157,92.003,91.040,91.762
30000,Montana,94.113,93.218,92.458,94.251,93.207,92.881,95.172,95.010,93.866,94.244,92.371,94.250,91.973,91.400,90.164,90.244
31000,Nebraska,89.609,90.668,92.130,91.444,92.325,91.876,91.839,91.256,90.869,89.833,91.880,92.542,92.810,91.943,89.874,90.376
32000,Nevada,101.214,103.042,100.763,102.213,101.595,99.816,99.160,98.588,97.172,99.827,96.198,98.847,97.188,95.413,96.324,96.980
33000,New Hampshire,106.272,105.231,104.064,103.513,102.937,102.840,102.144,103.956,105.144,105.765,103.530,104.020,105.271,102.565,107.809,105.345
34000,New Jersey,107.563,111.124,108.867,109.277,109.420,109.077,109.154,108.990,109.111,109.323,111.078,111.183,110.712,109.190,108.768,108.883
35000,New Mexico,95.114,95.964,94.505,97.088,96.483,95.561,95.469,95.414,94.452,95.720,91.625,92.981,91.807,89.835,90.911,90.386
36000,New York,111.455,111.204,110.132,110.978,109.733,109.791,108.954,109.666,110.138,109.945,109.587,109.418,110.118,109.587,107.573,107.626
37000,North Carolina,92.409,91.214,92.813,93.521,93.471,93.683,93.788,93.552,93.771,93.056,92.916,91.871,91.345,93.760,93.998,94.139
38000,North Dakota,85.946,87.879,89.176,89.643,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.203,91.814,90.939,88.721,88.572
39000,Ohio,92.550,93.518,93.155,92.236,93.037,93.285,93.064,92.269,92.408,91.938,92.932,93.284,91.932,92.209,91.513,91.812
40000,Oklahoma,89.494,88.408,90.456,90.870,91.179,91.465,91.779,91.327,91.480,90.916,89.659,89.329,89.634,89.899,88.791,88.286
41000,Oregon,97.934,100.232,99.286,99.774,101.112,100.146,99.747,101.144,99.595,101.486,104.706,103.816,103.246,103.140,106.595,104.721
42000,Pennsylvania,99.232,99.598,99.069,98.473,98.025,97.858,97.250,98.205,97.815,99.123,98.133,97.958,97.687,96.110,96.166,97.500
44000,Rhode Island,103.855,104.293,102.110,101.304,99.934,101.540,100.436,102.176,101.725,102.476,102.076,102.407,101.767,102.146,104.396,101.412
45000,South Carolina,91.927,90.965,92.596,93.143,93.360,93.258,93.198,93.289,93.609,92.868,92.261,91.494,90.874,93.637,93.328,93.177
46000,South Dakota,85.044,86.070,88.863,87.321,90.380,90.265,89.448,87.890,87.387,87.275,91.253,91.833,91.326,90.089,87.879,88.095
47000,Tennessee,91.662,90.449,92.269,92.839,93.362,92.944,92.747,92.777,93.781,93.074,89.660,91.255,90.499,90.595,91.797,92.515
48000,Texas,96.977,96.653,97.591,96.925,97.646,98.048,98.364,98.223,98.024,97.372,97.745,98.503,98.774,98.404,97.447,97.175
49000,Utah,96.975,100.036,97.291,99.824,99.423,98.575,97.934,97.656,97.082,98.708,95.977,97.259,95.262,94.573,94.572,95.002
50000,Vermont,100.885,101.704,99.614,99.253,100.050,100.497,98.076,100.159,98.332,100.398,100.239,99.616,102.132,98.661,100.990,96.635
51000,Virginia,103.145,102.361,103.586,103.378,102.471,103.515,103.455,103.591,102.805,101.267,102.018,100.056,101.010,102.329,102.051,100.749
53000,Washington,104.513,104.620,102.608,103.205,102.509,102.450,103.861,104.344,105.555,107.451,107.124,107.979,107.869,108.754,110.025,108.562
54000,West Virginia,87.601,86.614,88.829,89.240,89.267,90.200,89.834,90.535,89.796,89.026,89.427,88.521,87.333,91.002,89.156,89.772
55000,Wisconsin,93.276,94.224,94.858,93.773,94.356,93.911,93.832,93.314,93.234,93.540,93.951,94.472,92.665,93.293,92.416,93.097
56000,Wyoming,95.310,96.638,95.492,97.638,96.284,97.350,97.424,96.972,97.747,97.185,92.345,94.120,91.831,91.533,91.761,90.848